name,constit,party1,pw_name,party2,party_change,by_elec,cl_wikidataid,cl_pageid,cl_wikititle,iraq_inv,iraq_inv_source,iraq_inv_link,party3
Adam Ingram,East Kilbride,Lab,Adam Ingram,,0,0,Q350602,414515,Adam_Ingram_(Labour_politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Adam Price,Carmarthen East and Dinefwr,PC,Adam Price,,0,0,Q3405033,417528,Adam_Price,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Adrian Bailey,West Bromwich West,Lab,Adrian Bailey,,0,0,Q260013,414428,Adrian_Bailey,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Adrian Flook,Taunton,Con,Mr Adrian Flook,,0,0,Q4685018,421625,Adrian_Flook,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Adrian Sanders,Torbay,LDem,Adrian Sanders,,0,0,Q479047,450345,Adrian_Sanders,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Alan Beith,Berwick-upon-Tweed,LDem,Alan Beith,,0,0,Q260960,413936,Alan_Beith,Against Invasion,Voted against UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Other parties
Alan Campbell,Tynemouth,Lab,Alan Campbell,,0,0,Q268196,419348,Alan_Campbell_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Duncan,Rutland and Melton,Con,Alan Duncan,,0,0,Q302417,414463,Alan_Duncan,Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Conservative
Alan Howarth,Newport East,Lab,Mr Alan Howarth,,0,0,Q1228567,414029,"Alan_Howarth,_Baron_Howarth_of_Newport",Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
Alan Hurst,Braintree,Lab,Mr Alan Hurst,,0,0,Q4706922,434670,Alan_Hurst_(politician),Pro Invasion,Voted in support of UK invasion of Iraq,https://www.publicwhip.org.uk/division.php?date=2003-03-18&number=118&display=allpossible,Labour
