"aid","eid","ep_num","ep_in_year","special_ep","year","airdate","ad_year","ad_month","ad_day","location_name","location_country","gid","guest_name","wiki_url","cl_pageid","sex","ethnicity","eth_grp","ed_priv","ed_priv_lab","ed_oxbr","ed_oxb_lab","profession_1","profession_notes","uk_pol","pol_cat_1","party_name","party_cat","parl","brex_stage","brex_lr","brex_lr_lab","brex_lr_source","brex_lr_link","brex_cat5","brex_cat_lab","brex_cat_source","brex_cat_link","brex_cat_notes","iraq_stage","party3","iraq_inv","iraq_inv_lab","iraq_inv_source","iraq_inv_link"
2893,"200101",719,1,0,2001,2001-01-11,2001,1,11,"London, England","England","611","David Puttnam","https://en.wikipedia.org/wiki/David_Puttnam","417492","0","10","White","0","State educated","99","Did not attend","1","HoL, Lord Temporal","1","2","Labour","2","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2894,"200101",719,1,0,2001,2001-01-11,2001,1,11,"London, England","England","1062","Julie Kirkbride","https://en.wikipedia.org/wiki/Julie_Kirkbride","427662","1","10","White","0","State educated","0","Other university","1","MP","1","1","Conservative","1","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2895,"200101",719,1,0,2001,2001-01-11,2001,1,11,"London, England","England","1162","Margaret Beckett","https://en.wikipedia.org/wiki/Margaret_Beckett","224819","1","10","White","0","State educated","0","Other university","1","Leader of the HoC","1","1","Labour","2","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2896,"200101",719,1,0,2001,2001-01-11,2001,1,11,"London, England","England","1310","Nick Harvey","https://en.wikipedia.org/wiki/Nick_Harvey","434612","0","10","White","1","Privately educated","0","Other university","1","MP","1","1","Lib Dem","3","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2897,"200101",719,1,0,2001,2001-01-11,2001,1,11,"London, England","England","1679","Trevor Kavanagh","https://en.wikipedia.org/wiki/Trevor_Kavanagh","447692","0","10","White","1","Privately educated","99","Did not attend","2","Political editor","0",NA,NA,NA,"97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2898,"200102",720,2,0,2001,2001-01-18,2001,1,18,"Bristol, England","England","50","Margaret Jay","https://en.wikipedia.org/wiki/Margaret_Jay,_Baroness_Jay_of_Paddington","352612","1","10","White","1","Privately educated","1","Oxford/Cambridge","1","Leader of HoL","1","2","Labour","2","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2899,"200102",720,2,0,2001,2001-01-18,2001,1,18,"Bristol, England","England","60","Phil Willis","https://en.wikipedia.org/wiki/Phil_Willis,_Baron_Willis_of_Knaresborough","48967362","0","10","White","0","State educated","0","Other university","1","MP","1","1","Lib Dem","3","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2900,"200102",720,2,0,2001,2001-01-18,2001,1,18,"Bristol, England","England","1124","Liam Fox","https://en.wikipedia.org/wiki/Liam_Fox","357375","0","10","White","0","State educated","0","Other university","1","Shadow Sec - Health","1","1","Conservative","1","97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2901,"200102",720,2,0,2001,2001-01-18,2001,1,18,"Bristol, England","England","1416","Phil de Glanville","https://en.wikipedia.org/wiki/Phil_de_Glanville","691743","0","10","White","1","Privately educated","0","Other university","3","Former rugby player","0",NA,NA,NA,"97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2902,"200102",720,2,0,2001,2001-01-18,2001,1,18,"Bristol, England","England","1723","Yasmin Alibhai-Brown","https://en.wikipedia.org/wiki/Yasmin_Alibhai-Brown","1113384","1","40","Ethnic minority",NA,"No information","0","Other university","2","Journalist","0",NA,NA,NA,"97-01",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
