name,wiki_url,constituency,exclude,party,brex_cat,brex_cat_lab,brex_cat_source,brex_cat_notes,brex_cat_link,delay_bill,may_bill,benn_bill,nodeal_bill
Victoria Atkins,https://en.wikipedia.org/wiki/Victoria_Atkins,Louth and Horncastle,0,Conservative,3,Deal,“We have always been clear that the Government policy is securing a deal on our exit from the European Union.”,Voted remain but wants brexit deal. Voted against 'no deal' and 'cofirmatory vote' in the indicative parliamentary votes.,https://www.express.co.uk/news/uk/1107840/Brexit-news-Theresa-May-deal-Victoria-Atkins-Chloe-Westley-brexit-no-deal; https://twitter.com/standup4brexit/status/1121671801346514944?lang=en; https://www.express.co.uk/news/uk/1119166/Brexit-news-update-BBC-Question-Time-Victoria-Atkins-Theresa-May-deal; https://www.theguardian.com/uk-news/ng-interactive/2019/mar/27/how-did-your-mp-vote-in-the-indicative-votes,1,1,0,0
Kenneth Clarke,https://en.wikipedia.org/wiki/Kenneth_Clarke,Rushcliffe,0,Conservative,3,Deal,"And so, while Heseltine or the next generation of (formerly) Conservative pro-Europeans such as Anna Soubry are holding out for a second referendum that might keep Britain in the EU, Clarke is committed to accepting reality, as he sees it. “Unless and until I can see an opportunity of actually reversing Brexit and restoring a stable membership of the European Union, then in the real world I concentrate on minimising the damage,” he says, sitting behind a desk that could only belong to Ken Clarke. This is how Clarke, so vehement a pro-European he once championed Britain joining the euro, has found himself breaking from his one-time comrades in the cause, becoming instead an advocate of soft Brexit. ; He continues: “And don’t forget, the vast majority of Conservative MPs have, like me, already voted for a soft Brexit, most of them three times. The majority of the Conservative parliamentary party basically agree with me and they’ve demonstrated that the route they prefer is leaving with a deal. Boris accepted it. He can’t get away from the fact.","Pro european but willing to work towards a soft brexit, not in favour of second referendum",https://www.theguardian.com/politics/2019/apr/15/ken-clarke-mp-brexit-parody-student-politics-conservative-tory-europe; https://www.theguardian.com/politics/2019/sep/07/ken-clarke-interview-andrew-rawnsley-lost-tory-whip,1,1,1,0
Tobias Ellwood,https://en.wikipedia.org/wiki/Tobias_Ellwood,Bournemouth East,0,Conservative,3,Deal,"Asked if he would use his freedom on the backbenches to join other former ministers in voting against a no-deal Brexit, he said: ""I'm not going down that route at all. At the moment I'm 100% behind the Prime Minister and I actually think it's the duty of every single Member of Parliament to support the Prime Minister. ""His objective, his main effort - to use a military term - is to get a deal. The more you big up no deal, which actually isn't a destination, the more you give some of our pure Brexiteers fuel to say that's where we should want to go. ""It's been a very unhelpful debate in playing up no deal. ""It's not in our manifesto, it wasn't on the books when Vote Leave was created and it should be avoided at absolutely all costs."" He said every effort should be directed at getting a deal ""otherwise the damage to our economy will send our party into opposition for a decade"".; But Ellwood – who backed remain during the 2016 referendum – has been a firm no-deal critic, saying before his sacking that such a scenario “isn’t a solution”.","Did not outright vote against the governmnet to rule out no deal, but strongly against it. Was sacked by cabinet after critising no deal and said it 'isn't a solution'.",https://www.standard.co.uk/news/politics/tobias-ellwood-tory-minister-axed-from-government-by-boris-johnson-after-nodeal-brexit-warning-a4199351.html; https://www.theguardian.com/politics/2019/jul/27/tobiad-ellwood-urges-boris-johnson-to-dial-down-brexit-rhetoric,1,1,0,NA
Damian Green,https://en.wikipedia.org/wiki/Damian_Green,Ashford,0,Conservative,3,Deal,"Conservative MP Damian Green told LBC that anyone who thinks a second referendum would solve the Brexit impasse is ""deluded"".","Against second referendum, favours softer brexit, against no deal",https://www.lbc.co.uk/radio/presenters/nick-ferrari/second-referendum-wont-solve-anything-says-tory-mp/,1,1,0,0
David Lidington,https://en.wikipedia.org/wiki/David_Lidington,Aylesbury,0,Conservative,3,Deal,"David Lidington has become the latest senior cabinet minister to resign from Government in the wake of Boris Johnson's election as the new prime minister, saying he could not support a no-deal Brexit.; Theresa May’s deputy has given fresh hope to second referendum campaigners by saying another vote was “perfectly practical”, according to two party leaders. Change UK leader Heidi Allen said David Lidington, the Cabinet Office minister, had “clearly done his research” on the mechanics of a Final Say vote when she attended talks alongside Liberal Democrats Sir Vince Cable and Jo Swinson. Sir Vince said Mr Lidington had asserted that holding another vote would be “perfectly practical” during the meeting.","Accepts previous referendum result, but was in talks with other parties about holding second referendum. Firmly against no deal.",https://inews.co.uk/news/politics/david-lidington-resigns-boris-johnson-no-deal-brexit-497883; https://www.independent.co.uk/news/uk/politics/brexit-news-latest-second-referendum-vince-cable-david-lidington-a8909401.html;,1,1,0,NA
Rory Stewart,https://en.wikipedia.org/wiki/Rory_Stewart,Penrith and The Border,0,Conservative,3,Deal,"For the record I am pushing for Brexit and against Remain but think no deal would lead to uncertainty, damage and division","Resigned from cabinet over brexit, firmly against no deal",https://www.spectator.co.uk/2019/09/rory-stewart-am-i-still-a-conservative/,1,1,1,0
Bim Afolami,https://en.wikipedia.org/wiki/Bim_Afolami,Hitchin and Harpenden,0,Conservative,3,Deal,"I remain fully committed to respecting and delivering the result of the EU referendum. Although I voted to remain in 2016, I believe that if Parliament were to try and frustrate or overturn the result it would trigger an even more serious political crisis, and public anger. For the same reason I am also reluctant to support a second referendum on our EU membership. We all promised to abide by the result, and I intend to keep that promise.","Favours a deal, against second referendum and wants to avoid no deal scenario",https://www.bimafolami.co.uk/an-open-letter-to-my-constituents-on-brexit/,1,1,0,0
Vicky Ford,https://en.wikipedia.org/wiki/Vicky_Ford,Chelmsford,0,Conservative,3,Deal,"It seems to me we have three options: a ""no deal Brexit"", a second referendum or supporting the negotiated package. I believe the first two options carry considerable risks to jobs and livelihoods. I am therefore minded to support the negotiated package when it comes to the House of Commons for a vote.","Favours deal, against no deal or second referendum",#N/Ahttps://www.vickyford.uk/news/vickys-december-letter-chelmsford-constituents-regarding-brexit,1,1,0,0
Margot James,https://en.wikipedia.org/wiki/Margot_James,Stourbridge,0,Conservative,3,Deal,"James is one of the senior Conservative MPs who resigned before Johnson took office and made clear they would fight a no-deal Brexit . . . ""My goal is to make sure we leave in an orderly way with a negotiated settlement. And the other goal is to make sure we do not leave as the legal default implies without a deal"".","Resigned from cabinet over brexit, firmly against no deal",https://www.theguardian.com/politics/2019/jul/26/tory-mp-margot-james-not-rule-out-quitting-party-massive-shift-right-brexit,1,1,1,0
Greg Clark,https://en.wikipedia.org/wiki/Greg_Clark,Tunbridge Wells,0,Conservative,3,Deal,"The next Conservative prime minister could unleash a “wall of investment” if he resolves Brexit with a deal but risks plunging the British economy into uncertainty if he allows the UK to crash out of the EU, business secretary Greg Clark has claimed. He is expected to join chancellor Philip Hammond and about 30 other Tory MPs opposed to a no-deal Brexit on the backbenches in the House of Commons.",Opposed to no deal,https://www.ft.com/content/387d6a08-ab91-11e9-8030-530adfa879c2,1,1,1,NA
David Gauke,https://en.wikipedia.org/wiki/David_Gauke,South West Hertfordshire,0,Conservative,3,Deal,"We wait to learn details of any putative deal but, assuming negotiations with the EU are successfully concluded, even for those of us minded to support a deal (and I am), there are four questions that will need answering.; Speaking for myself, I have long argued against a second referendum and still want to avoid it. But unless we can make rapid progress towards Parliament supporting a deal, those calls are only going to grow.","Pro european but willing to work towards a soft brexit, not in favour of second referendum",https://inews.co.uk/news/politics/brexit/david-blunkett-chris-williamson-bbc-politics-no-deal-brexit-video-149828; https://www.redpepper.org.uk/the-labour-party-is-its-members-chris-williamson-mp-interview/,1,1,1,NA
Stephen Kinnock,https://en.wikipedia.org/wiki/Stephen_Kinnock,Aberavon,0,Labour,3,Deal,"He [Kinnock] told Theo that the UK should leave with a deal and he thinks Labour should have ""stuck to their guns"" on that policy.'; Advocates of a People's Vote may not like it, but the way out of this constitutional crisis is 'Norway Plus', says Labour MP STEPHEN KINNOCK","Seeks brexit deal, against second vote.",https://www.lbc.co.uk/hot-topics/brexit/stephen-kinnock-says-labour-brexit-position-muddy/; https://www.theneweuropean.co.uk/top-stories/forget-second-vote-norway-avoid-brexit-cliff-1-5799824,1,0,1,0
Lisa Nandy,https://en.wikipedia.org/wiki/Lisa_Nandy,Wigan,0,Labour,3,Deal,Local MP Lisa Nandy believes second referendum would be ‘final breach of trust’ with voters,"Against second referendum, voted against no deal brexit",https://www.theguardian.com/politics/2019/may/29/wigan-labour-brexit-lisa-nandy-second-referendum-brexit-party,NA,0,1,0
Chris Williamson,https://en.wikipedia.org/wiki/Chris_Williamson_(politician),Derby North,0,Labour,3,Deal,"On the possibility of a second referendum, the Derby North MP said: ""Frankly I don’t think there is an appetite in the House or the Parliamentary Labour Party. If you look at the opinion polls, if you look at Survation, there isn’t much appetite with the general public either. ""If we ended up with a second referendum I think the outcome would be the same, and probably an even bigger margin in favour of Leave.""; But at the end of the day, people have voted and we’ve got to go along with that. The question now is what kind of Brexit do we negotiate. That was very much our line in the parliamentary campaign in Derby North.",Not in favour of second referendum,NA,1,0,NA,NA
Caroline Flint,https://en.wikipedia.org/wiki/Caroline_Flint,Don Valley,0,Labour,3,Deal,The Labour MP for Don Valley replied: “Of course I am concerned Sophy. At the heart of all tis is trust - can we trust the Prime Minister Boris Johnson to do what he said he would do which is work to achieve a deal. “On the other side of it is can we trust those who often also don’t want a deal because they want to overturn the referendum result of 2016. That’s why myself and others have formed a group called ‘MPs for a deal’.,Pushing for brexit deal and respecting referendum result,https://www.express.co.uk/news/uk/1175345/Brexit-news-Caroline-Flint-latest-mp-no-deal-Sky-Ridge-on-Sunday-live-today-UK,1,0,1,0
